Date,Time,Ia,Ig,Ia 2nd Limit,Ia 1st Limit,Conv_Speed,Product_Temp,Electrode_Set,Electrode_Act
25/03/2025,14:28:53,1.7,0.56,1.7,1.5,0.2,40,75,77.5
25/03/2025,14:28:58,1.68,0.56,1.7,1.5,0.2,40,75,77.8
25/03/2025,14:29:03,1.67,0.56,1.7,1.5,0.2,40,75,78
25/03/2025,14:29:08,1.69,0.56,1.7,1.5,0.2,40,75,78.1
25/03/2025,14:29:13,1.65,0.56,1.7,1.5,0.2,40,75,78.4
25/03/2025,14:29:18,1.67,0.56,1.7,1.5,0.2,40,75,78.5
25/03/2025,14:29:23,1.69,0.56,1.7,1.5,0.2,40,75,78.6
25/03/2025,14:29:28,1.69,0.56,1.7,1.5,0.2,40,75,78.8
25/03/2025,14:29:33,1.7,0.56,1.7,1.5,0.2,40,75,78.9
25/03/2025,14:29:38,1.69,0.56,1.7,1.5,0.2,40,75,79
25/03/2025,14:29:43,1.66,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:29:48,1.68,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:29:53,1.7,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:29:58,1.7,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:03,1.68,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:08,1.68,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:13,1.68,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:18,1.68,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:23,1.69,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:28,1.69,0.56,1.7,1.5,0.2,41,75,79.2
25/03/2025,14:30:33,1.67,0.56,1.7,1.5,0.2,41,75,79.3
25/03/2025,14:30:38,1.69,0.56,1.7,1.5,0.2,41,75,79.3
25/03/2025,14:30:43,1.7,0.56,1.7,1.5,0.2,41,75,79.4
25/03/2025,14:30:48,1.67,0.56,1.7,1.5,0.2,41,75,79.6
25/03/2025,14:30:53,1.7,0.56,1.7,1.5,0.2,41,75,79.7
25/03/2025,14:30:58,1.7,0.56,1.7,1.5,0.2,41,75,80.1
25/03/2025,14:31:03,1.67,0.56,1.7,1.5,0.2,41,75,80.5
25/03/2025,14:31:08,1.63,0.56,1.7,1.5,0.2,41,75,81.1
25/03/2025,14:31:13,1.68,0.56,1.7,1.5,0.2,41,75,81.4
25/03/2025,14:31:18,1.65,0.56,1.7,1.5,0.2,41,75,82
25/03/2025,14:31:23,1.66,0.56,1.7,1.5,0.2,42,75,82.6
25/03/2025,14:31:28,1.7,0.56,1.7,1.5,0.2,42,75,83
25/03/2025,14:31:33,1.66,0.56,1.7,1.5,0.2,42,75,83.8
25/03/2025,14:31:38,1.71,0.55,1.7,1.5,0.2,42,75,84.1
25/03/2025,14:31:43,1.7,0.55,1.7,1.5,0.2,42,75,84.7
25/03/2025,14:31:48,1.7,0.56,1.7,1.5,0.2,42,75,85.2
25/03/2025,14:31:53,1.71,0.55,1.7,1.5,0.2,42,75,85.5
25/03/2025,14:31:58,1.7,0.55,1.7,1.5,0.2,42,75,86
25/03/2025,14:32:03,1.66,0.56,1.7,1.5,0.2,42,75,86.5
25/03/2025,14:32:08,1.69,0.56,1.7,1.5,0.2,42,75,86.9
25/03/2025,14:32:13,1.7,0.56,1.7,1.5,0.2,42,75,87.2
25/03/2025,14:32:18,1.64,0.56,1.7,1.5,0.2,42,75,87.7
25/03/2025,14:32:23,1.67,0.55,1.7,1.5,0.2,42,75,88
25/03/2025,14:32:28,1.66,0.55,1.7,1.5,0.2,42,75,88.4
25/03/2025,14:32:33,1.68,0.55,1.7,1.5,0.2,42,75,88.7
25/03/2025,14:32:38,1.68,0.55,1.7,1.5,0.2,42,75,89
25/03/2025,14:32:43,1.67,0.55,1.7,1.5,0.2,42,75,89.4
25/03/2025,14:32:48,1.67,0.55,1.7,1.5,0.2,42,75,89.8
25/03/2025,14:32:53,1.69,0.55,1.7,1.5,0.2,42,75,90
25/03/2025,14:32:58,1.64,0.55,1.7,1.5,0.2,42,75,90.4
25/03/2025,14:33:03,1.69,0.55,1.7,1.5,0.2,42,75,90.7
25/03/2025,14:33:08,1.71,0.55,1.7,1.5,0.2,42,75,90.9
25/03/2025,14:33:13,1.68,0.55,1.7,1.5,0.2,42,75,91.2
25/03/2025,14:33:18,1.7,0.55,1.7,1.5,0.2,42,75,91.5
25/03/2025,14:33:23,1.67,0.55,1.7,1.5,0.2,42,75,91.8
25/03/2025,14:33:28,1.69,0.55,1.7,1.5,0.2,42,75,92
25/03/2025,14:33:33,1.68,0.55,1.7,1.5,0.2,42,75,92.3
25/03/2025,14:33:38,1.66,0.55,1.7,1.5,0.2,42,75,92.6
25/03/2025,14:33:43,1.66,0.55,1.7,1.5,0.2,42,75,92.8
25/03/2025,14:33:48,1.7,0.55,1.7,1.5,0.2,42,75,92.9
25/03/2025,14:33:53,1.7,0.55,1.7,1.5,0.2,42,75,93.1
25/03/2025,14:33:58,1.67,0.55,1.7,1.5,0.2,43,75,93.4
25/03/2025,14:34:03,1.69,0.55,1.7,1.5,0.2,43,75,93.5
25/03/2025,14:34:08,1.67,0.55,1.7,1.5,0.2,43,75,93.7
25/03/2025,14:34:13,1.68,0.55,1.7,1.5,0.2,43,75,93.8
25/03/2025,14:34:18,1.66,0.55,1.7,1.5,0.2,43,75,93.9
25/03/2025,14:34:23,1.7,0.55,1.7,1.5,0.2,43,75,93.9
25/03/2025,14:34:28,1.66,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:34:33,1.68,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:34:38,1.69,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:34:43,1.69,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:34:48,1.69,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:34:53,1.69,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:34:58,1.69,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:35:03,1.67,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:35:08,1.67,0.55,1.7,1.5,0.2,43,75,94.1
25/03/2025,14:35:13,1.66,0.55,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:18,1.65,0.55,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:23,1.64,0.55,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:28,1.64,0.55,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:33,1.63,0.55,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:38,1.63,0.56,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:43,1.63,0.56,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:48,1.62,0.56,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:53,1.61,0.56,1.7,1.5,0.2,44,75,94.1
25/03/2025,14:35:58,1.62,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:03,1.62,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:08,1.61,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:13,1.62,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:18,1.61,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:23,1.61,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:28,1.61,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:33,1.61,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:38,1.61,0.56,1.7,1.5,0.2,45,75,94.1
25/03/2025,14:36:43,1.6,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:36:48,1.6,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:36:53,1.59,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:36:58,1.59,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:37:03,1.58,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:37:08,1.57,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:37:13,1.57,0.56,1.7,1.5,0.2,46,75,94.1
25/03/2025,14:37:18,1.56,0.56,1.7,1.5,0.2,47,75,94.1
25/03/2025,14:37:23,1.55,0.56,1.7,1.5,0.2,47,75,94.1
25/03/2025,14:37:28,1.54,0.56,1.7,1.5,0.2,47,75,94.1
25/03/2025,14:37:33,1.53,0.56,1.7,1.5,0.2,47,75,94.1
25/03/2025,14:37:38,1.51,0.56,1.7,1.5,0.2,47,75,94.1
25/03/2025,14:37:43,1.54,0.56,1.7,1.5,0.2,47,75,93.9
25/03/2025,14:37:48,1.53,0.56,1.7,1.5,0.2,48,75,93.9
25/03/2025,14:37:53,1.52,0.56,1.7,1.5,0.2,48,75,93.9
25/03/2025,14:37:58,1.5,0.56,1.7,1.5,0.2,48,75,93.9
25/03/2025,14:38:03,1.52,0.56,1.7,1.5,0.2,48,75,93.9
25/03/2025,14:38:08,1.51,0.56,1.7,1.5,0.2,48,75,93.9
25/03/2025,14:38:13,1.51,0.56,1.7,1.5,0.2,49,75,93.9
25/03/2025,14:38:18,1.51,0.56,1.7,1.5,0.2,49,75,93.9
25/03/2025,14:38:23,1.51,0.56,1.7,1.5,0.2,49,75,93.9
25/03/2025,14:38:28,1.51,0.56,1.7,1.5,0.2,49,75,93.9
25/03/2025,14:38:33,1.51,0.56,1.7,1.5,0.2,50,75,93.9
25/03/2025,14:38:38,1.51,0.56,1.7,1.5,0.2,51,75,93.9
25/03/2025,14:38:43,1.53,0.56,1.7,1.5,0.2,52,75,93.9
